Anon.		1
divers compositeurs		2
vaudevilles		3
Adam	 Adolphe Charles	4
Alexandre	 Charles Guillaume	5
Anfossi	 Pasquale	6
Auber	 Daniel François Esprit	7
Baccelli	 Domenico	8
Balfe	 Michael William	9
Bambini	 Felice	10
Barni	 Camille	11
Barthélémon	 François Hippolyte	12
Batton	 Désiré Alexandre	13
Baudron	 Antoine Laurent	14
Bayon	 Marie Emmanuelle	15
Bazin	 François Emmanuel Joseph	16
Beauplan	 Amédée Joseph Louis Rousseau de	17
Benda	 Georg	18
Benicori	 Angelo Maria	19
Benoist	 François	20
Berlioz	 Louis Hector	21
Bertaud		22
Bertin	 Louise Angélique	23
Berton	 Henri Montan	24
Berton	 Henri François	25
Bianchi	 Francesco	26
Blaise	 Adolphe Benoît	27
Blangini	 Giuseppe Marco Mario Felice	28
Blasius	 Matthieu Frédéric	29
Bochsa	 Robert Nicolas Charles	30
Boieldieu	 François Adrien	31
Boieldieu	 Adrien Louis Victor	32
Boilly	 Édouard	33
Boisselot	 Dominique François Xavier	34
Bonesi	 Barnaba	35
Bordèse	 Luigi	36
Boulanger	 Ernest Henri Alexandre	37
Bourges	 Jean Maurice	38
Bousquet	 André Georges Jacques	39
Bouteiller	 Pierre Guillaume de	40
Bréval	 Jean-Baptiste Sébastien	41
Bruni	 Antonio Bartolomeo	42
Cadaux	 Justin	43
Cambini	 Giuseppe Maria	44
Candeille	 Amélie-Julie	45
Carafa	 Michele Enrico Francesco Vicenzo	46
Catel	 Charles Simon	47
Catrufo	 Giuseppe	48
Champein	 Marie François Stanislas	49
Chancourtois	 Louis	50
Chapelle	 Pierre David Augustin	51
Chardiny	 Louis Armand Chardin, dit	52
Chartrain	 Nicolas Joseph	53
Chelard	 Hippolyte André Jean-Baptiste	54
Cherubini	 Mario Luigi Carlo Zanobi Salvadore	55
Ciampi	 Vincenzo	56
Cifolelli	 Giovanni	57
Cimarosa	 Domenico	58
Clapisson	 Antoine Louis	59
Clément	 Charles François	60
Colet	 Hippolyte Raymond	61
Coppola	 Pier Antonio	62
Court de Fontmichel	 Hippolyte Honoré Joseph	63
Crémont	 Pierre	64
Dalayrac	 Nicolas Marie	65
Dalvimare	 Martin Pierre	66
Darcis	 François-Joseph	67
Darondeau	 Benoni	68
Daussoigne-Méhul	 Louis Joseph	69
Dauvergne	 Antoine	70
Davaux	 Jean-Baptiste	71
Deblois	 Charles Gui Xavier van Gronnerade, dit Charles	72
Della Maria	 Pierre Antoine Domenico	73
Des Rochers		74
Désaugiers	 Marc-Antoine Madeleine (fils)	75
Desbrosses	 Robert	76
Deshayes	 Prosper Didier	77
Désormery	 Léopold Bastien	78
Despréaux	 Guglielmo Ross, dit	79
Devienne	 François	80
Dezède	 Nicolas	81
Dezède	 Florine	82
Doche	 Alexandre Pierre Joseph	83
Donizetti	 Domenico Gaetano Maria	84
Dourlen	 Victor Charles Paul	85
Dubaut		86
Dugazon	 Alexandre Louis Gustave	87
Duni	 Egidio Romualdo	88
Duret	 Marcel Antoine	89
Eler	 André Frédéric	90
Estourmel	 A. d'	91
Fay	 Étienne	92
Feltre	 Alphonse de	93
Fétis	 François Joseph	94
Fiocchi	 Vincenzo	95
Floquet	 Étienne Joseph	96
Flotow	 Friedrich von	97
Foignet	 Charles Gabriel	98
Fournier	 A.G.	99
Framery	 Nicolas Étienne	100
Fridzeri	 Alessandro Mario Antonio	101
Gail	 Edmée Sophie (née Garre)	102
García	 Vicente Rodríguez, dit Manuel	103
Gasse	 Ferdinand	104
Gaveaux	 Pierre	105
Gaviniès	 Pierre	106
Genin	 F.	107
Gensoul	 Marie Alexis Justin	108
Gibert	 Paul César	109
Gide	 Casimir	110
Ginestet	 Prosper de	111
Girard	 Narcisse	112
Gluck	 Christoph Willibald	113
Godefroid	 Jules Joseph	114
Gomis	 José Melchior	115
Gossec	 François Joseph	116
Gresnick	 Antoine Frédéric	117
Grétry	 Angélique Dorothée Louise Lucile	118
Grétry	 André Joseph	119
Grétry	 André Ernest Modeste	120
Grisar	 Albert	121
Guénée	 Pierre Luc	122
Halévy	 Jacques Fromental Elie	123
Héquet	 Charles Joseph Gustave	124
Herbain	 Chevalier d'	125
Herold	 Louis Joseph Ferdinand	126
Hinner	 Philipp Joseph	127
Isouard	 Nicolas, dit Nicolò	128
Jadin	 Louis Emmanuel	129
Josse	 Giovanni	130
Kastner	 Jean Georges	131
Kohaut	 Josef Wenzel Thomas	132
Kreubé	 Charles Frédéric	133
Kreutzer	 Rodolphe	134
La Moskova	 Joseph Napoléon Ney, prince de	135
La Salle d'Offémont	 Adrien Nicolas Piédefer de	136
Labarre	 Théodore François Joseph Berry, dit Théodore	137
Laborde	 Jean Benjamin de	138
Lachnith	 Ludwig Wenzel	139
Laruette	 Jean-Louis	140
Le Grand	 Jean-Pierre	141
Le Sénéchal de Kerkado	 Mlle	142
Le Sueur	 Jean-François	143
Leborne	 Aimé Ambroise Simon	144
Lebrun	 Louis Sébastien	145
Lefebvre	 Joseph	146
Lefroid de Méreaux	 Jean Nicolas	147
Lemière de Corvey	 Jean Frédéric	148
Lemoyne	 Jean-Baptiste	149
Leprévost	 Étienne Alexandre	150
Lescot	 C. François	151
Limnander	 Armand Marie Ghislain, baron de Nieuwenhove	152
Louet	 Alexandre	153
Lubbert	 Émile Timothée	154
Maillart	 Louis Aimé	155
Marc	 François	156
Maresse	 Louis	157
Marliani	 Marco Aurelio	158
Martini	 Jean Paul Égide	159
Massé	 Félix Marie, dit Victor	160
Mazas	 Jacques Féréol	161
Méhul	 Étienne Nicolas	162
Mengal	 Martin Joseph	163
Mengozzi	 Bernardo	164
Merville	 Pierre François Camus, dit	165
Monpou	 François Louis Hippolyte	166
Monsigny	 Pierre Alexandre	167
Montfort	 Alexandre	168
Moulinghen	 Jean-Baptiste	169
Onslow	 André Georges Louis	170
Pacini	 Antonio Francesco Gaetano Saverio	171
Paër	 Ferdinando	172
Paisiello	 Giovanni	173
Panseron	 Auguste Mathieu	174
Parenti	 Paolo Francesco	175
Paris	 Alexandre	176
Pergolesi	 Giovanni Battista	177
Persius	 Louis Luc Loiseau de	178
Philidor	 François André Danican	179
Piccinni	 Niccolò	180
Piccinni	 Luigi	181
Piccinni	 Louis Alexandre	182
Piis	 Pierre Antoine Augustin de	183
Pisot	 Charles	184
Plantade	 Charles Henri	185
Porta	 Bernardo	186
Potier	 Henri Hippolyte	187
Pradher	 Louis Barthélémy	188
Prati	 Alessio	189
Prévost	 Eugène Prosper	190
Propiac	 Catherine Joseph Ferdinand Girard de	191
Prot	 Félix Jean	192
Prudent		193
Puget	 Loïsa	194
Ragué	 Louis Charles	195
Reber	 Napoléon Henri	196
Reicha	 Anton	197
Rifaut	 Louis Victor Étienne	198
Rigade	 André Jean	199
Rigel	 Henri Joseph	200
Rigel	 Henri Jean	201
Riggieri	 Antonio	202
Rodolphe	 Jean Joseph	203
Romagnesi	 Antoine Joseph Michel, dit	204
Romberg	 Bernhard Heinrich	205
Romberg	 Andreas	206
Rousselot	 Scipion	207
Ruolz	 Henri de	208
Russo	 Raphaël	209
Sacchini	 Antonio	210
Saint-Amans	 Louis Joseph Claude	211
Saint-Georges	 Joseph Bologne, chevalier de	212
Schobert	 Johann	213
Sellitto	 Giuseppe	214
Sodi	 Charles	215
Solié	 Jean-Pierre	216
Spontini	 Gaspare Luigi Pacifico	217
Steibelt	 Daniel Gottlieb	218
Strunz	 Georg Jacob	219
Tarade	 Théodore Jean	220
Tarchi	 Angelo	221
Thomas	 Charles Louis Ambroise	222
Thys	 Pauline	223
Thys	 Alphonse	224
Traetta	 Tommaso	225
Trial	 Jean-Claude	226
Trial	 Armand Emmanuel (fils)	227
Vachon	 Pierre	228
Van Maldere	 Pierre	229
Varlet	 Luce	230
Villeblanche	 Armand de	231
Vogel	 Charles Louis Adolphe	232
Vogler	 Georg Joseph	233
Walter	 Georg Antoine	234
Weber	 Carl Maria von	235
Weigl	 Joseph	236
Wölffl	 Joseph	237
Zimmermann	 Pierre Joseph Guillaume	238
