opera,Brass - Horn,Brass - Trumpet,Brass - Trombone,Keyboard - Piano,Percussion - Timpani,Percussion - Drum,Percussion - Other,"Strings, bowed - Violin","Strings, bowed - Viola","Strings, bowed - Violoncello","Strings, bowed - Double bass","Strings, bowed - Unspecified","Strings, plucked - Harp",Woodwinds - Flute,Woodwinds - Oboe,Woodwinds - Clarinet,Woodwinds - Bassoon,Woodwinds - Piccolo,Woodwinds - Bass clarinet
1170,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,0
1170,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0
1170,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0
1170,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0
1170,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0
1170,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
1170,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0
1170,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0
1170,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1170,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0
1170,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0
284,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0
284,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0
284,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0
284,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0
284,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
284,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0
284,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0
284,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0
1785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1785,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
1785,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0
1785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1785,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
1785,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
1785,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0
1785,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0
1785,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0
1785,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0
1785,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0
1785,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0
1785,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0
1785,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0
1785,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0
1785,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0
1785,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0
1797,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0
1797,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0
1797,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0
1797,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0
1797,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0
1797,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0
1797,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
1797,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0
1797,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0
1213,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0
1213,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0
1213,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0
1213,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
1213,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0
1213,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0
1213,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0
1213,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0
1213,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0
1213,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0
436,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0
436,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
436,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0
436,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
436,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0
436,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0
436,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0
436,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0
544,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0
544,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0
544,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0
544,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
544,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0
544,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0
544,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0
544,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0
544,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0
544,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0
544,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0
544,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0
544,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0
544,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0
1194,1,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1
1194,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0
1194,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0
1194,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0
1194,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0
1194,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0
1194,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0
1856,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0
1856,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0
1856,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0
1856,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,0
1856,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0
1856,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0
1856,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0
1856,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0
1856,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0
1856,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0
1856,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0
1856,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
1856,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0
1856,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0
1856,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0
1856,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0
976,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0
976,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0
976,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0
976,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
976,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
976,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0
976,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0
976,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0
1752,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0
1752,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0
1752,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0
1752,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
1752,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0
1752,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0
1752,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
1752,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0
1752,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0
