"day_of_performance","days_old","number_of_acts","charlton_id"
"1820-01-01",7009,1,"1108"
"1820-01-01",7046,1,"284"
"1820-01-01",3600,3,"332"
"1820-01-02",806,3,"408"
"1820-01-03",5373,1,"976"
"1820-01-05",554,3,"1383"
"1820-01-05",246,1,"1294"
"1820-01-06",18369,1,"1713"
"1820-01-06",3036,1,"225"
"1820-01-07",7295,3,"544"
"1820-01-08",1404,3,"762"
"1820-01-10",6239,1,"1213"
"1820-01-10",2386,1,"1280"
"1820-01-12",2876,1,"1081"
"1820-01-12",650,1,"1639"
"1820-01-12",9900,1,"965"
"1820-01-13",18376,1,"1713"
"1820-01-14",7022,1,"1108"
"1820-01-14",330,1,"1777"
"1820-01-14",6905,1,"936"
"1820-01-15",1411,3,"762"
"1820-01-15",1916,3,"968"
"1820-01-16",18577,3,"517"
"1820-01-16",5386,1,"976"
"1820-01-17",2149,3,"990"
"1820-01-17",165,1,"640"
"1820-01-18",9906,1,"965"
"1820-01-19",3282,1,"360"
"1820-01-19",167,1,"640"
"1820-01-22",1418,3,"762"
"1820-01-22",170,1,"640"
"1820-01-23",7311,3,"544"
"1820-01-24",573,3,"1383"
"1820-01-24",265,1,"1294"
"1820-01-26",2402,1,"1280"
"1820-01-26",9914,1,"965"
"1820-01-27",0,3,"219"
"1820-01-27",10186,1,"61"
"1820-01-28",1929,3,"968"
"1820-01-29",8034,1,"1470"
"1820-01-29",2,3,"219"
"1820-01-30",579,3,"1383"
"1820-01-30",178,1,"640"
"1820-01-31",3061,1,"225"
"1820-01-31",4,3,"219"
"1820-02-01",2947,3,"897"
"1820-02-02",3296,1,"360"
"1820-02-02",2165,3,"990"
"1820-02-03",7,3,"219"
"1820-02-04",673,1,"1639"
"1820-02-05",140,1,"1724"
"1820-02-05",9,3,"219"
"1820-02-06",3636,3,"332"
"1820-02-07",2953,3,"897"
"1820-02-08",12,3,"219"
"1820-02-08",4826,2,"153"
"1820-02-09",589,3,"1383"
"1820-02-10",7049,1,"1108"
"1820-02-10",14,3,"219"
"1820-02-11",146,1,"1724"
"1820-02-11",4829,2,"153"
"1820-02-12",16,3,"219"
"1820-02-12",191,1,"640"
"1820-02-13",682,1,"1639"
"1820-02-13",2176,3,"990"
"1820-02-14",504,3,"1452"
"1820-02-14",18,3,"219"
"1820-02-23",3084,1,"225"
"1820-02-23",9942,1,"965"
"1820-02-23",202,1,"640"
"1820-02-25",1196,3,"1000"
"1820-02-25",1452,3,"762"
"1820-02-26",695,1,"1639"
"1820-02-26",4844,2,"153"
"1820-02-27",862,3,"408"
"1820-02-28",2435,1,"1280"
"1820-02-28",7903,1,"1310"
"1820-02-29",33,3,"219"
"1820-02-29",208,1,"640"
"1820-03-01",3324,1,"360"
"1820-03-01",2193,3,"990"
"1820-03-02",4210,1,"631"
"1820-03-03",612,3,"1383"
"1820-03-03",701,1,"1639"
"1820-03-04",1460,3,"762"
"1820-03-04",37,3,"219"
"1820-03-05",524,3,"1452"
"1820-03-06",39,3,"219"
"1820-03-07",5437,1,"976"
"1820-03-07",10776,5,"694"
"1820-03-08",7076,1,"1108"
"1820-03-09",42,3,"219"
"1820-03-10",8075,1,"1470"
"1820-03-10",10779,5,"694"
"1820-03-11",44,3,"219"
"1820-03-12",1468,3,"762"
"1820-03-13",1974,3,"968"
"1820-03-15",48,3,"219"
"1820-03-16",535,3,"1452"
"1820-03-17",50,3,"219"
"1820-03-17",225,1,"640"
"1820-03-18",627,3,"1383"
"1820-03-18",3108,1,"225"
"1820-03-19",52,3,"219"
"1820-03-21",8086,1,"1470"
"1820-03-21",9969,1,"965"
"1820-03-22",7127,1,"284"
"1820-03-22",55,3,"219"
"1820-03-23",56,3,"219"
"1820-03-24",722,1,"1639"
"1820-03-24",4871,2,"153"
"1820-03-25",58,3,"219"
"1820-03-26",7094,1,"1108"
"1820-03-26",2462,1,"1280"
"1820-04-03",2958,1,"1081"
"1820-04-03",732,1,"1639"
"1820-04-03",242,1,"640"
"1820-04-04",7140,1,"284"
"1820-04-04",5465,1,"976"
"1820-04-06",7941,1,"1310"
"1820-04-06",10806,5,"694"
"1820-04-08",648,3,"1383"
"1820-04-09",7388,3,"544"
"1820-04-09",2001,3,"968"
"1820-04-10",74,3,"219"
"1820-04-10",249,1,"640"
"1820-04-11",7110,1,"1108"
"1820-04-11",3365,1,"360"
"1820-04-12",562,3,"1452"
"1820-04-13",1500,3,"762"
"1820-04-13",77,3,"219"
"1820-04-14",743,1,"1639"
"1820-04-14",10814,5,"694"
"1820-04-15",3136,1,"225"
"1820-04-15",6997,1,"936"
"1820-04-16",3706,3,"332"
"1820-04-17",4195,1,"740"
"1820-04-17",5530,1,"932"
"1820-04-17",9996,1,"965"
"1820-04-19",7155,1,"284"
"1820-04-19",5532,1,"932"
"1820-04-20",1507,3,"762"
"1820-04-21",3142,1,"225"
"1820-04-21",10000,1,"965"
"1820-04-22",86,3,"219"
"1820-04-22",2014,3,"968"
"1820-04-23",262,1,"640"
"1820-04-24",7959,1,"1310"
"1820-04-24",2247,3,"990"
"1820-04-25",7404,3,"544"
"1820-04-26",7125,1,"1108"
"1820-04-26",18480,1,"1713"
"1820-04-28",10007,1,"965"
"1820-04-29",4386,2,"1856"
"1820-04-29",8125,1,"1470"
"1820-04-30",94,3,"219"
"1820-04-30",2253,3,"990"
"1820-05-01",4388,2,"1856"
"1820-05-01",7966,1,"1310"
"1820-05-03",4390,2,"1856"
"1820-05-03",7169,1,"284"
"1820-05-04",98,3,"219"
"1820-05-05",7134,1,"1108"
"1820-05-05",4392,2,"1856"
"1820-05-08",4395,2,"1856"
"1820-05-08",8134,1,"1470"
"1820-05-09",16533,2,"717"
"1820-05-09",2262,3,"990"
"1820-05-10",4397,2,"1856"
"1820-05-10",10019,1,"965"
"1820-05-11",7420,3,"544"
"1820-05-11",1528,3,"762"
"1820-05-12",4399,2,"1856"
"1820-05-14",2267,3,"990"
"1820-05-15",4402,2,"1856"
"1820-05-15",284,1,"640"
"1820-05-16",7182,1,"284"
"1820-05-16",16540,2,"717"
"1820-05-17",4404,2,"1856"
"1820-05-17",5560,1,"932"
"1820-05-18",112,3,"219"
"1820-05-18",2040,3,"968"
"1820-05-19",4406,2,"1856"
"1820-05-20",10300,1,"61"
"1820-05-20",10029,1,"965"
"1820-05-20",289,1,"640"
"1820-05-23",4410,2,"1856"
"1820-05-23",5974,1,"979"
"1820-05-24",2046,3,"968"
"1820-05-25",7154,1,"1108"
"1820-05-25",4412,2,"1856"
"1820-05-27",4414,2,"1856"
"1820-05-27",7193,1,"284"
"1820-05-28",953,3,"408"
"1820-05-28",297,1,"640"
"1820-05-29",4416,2,"1856"
"1820-05-30",2052,3,"968"
"1820-05-31",4418,2,"1856"
"1820-05-31",4939,2,"153"
"1820-06-01",126,3,"219"
"1820-06-01",301,1,"640"
"1820-06-02",4420,2,"1856"
"1820-06-03",3185,1,"225"
"1820-06-03",7046,1,"936"
"1820-06-03",10043,1,"965"
"1820-06-05",4423,2,"1856"
"1820-06-05",5987,1,"979"
"1820-06-07",4425,2,"1856"
"1820-06-08",3190,1,"225"
"1820-06-08",0,2,"36"
"1820-06-09",4427,2,"1856"
"1820-06-09",309,1,"640"
"1820-06-10",2538,1,"1280"
"1820-06-10",8006,1,"1310"
"1820-06-10",2,2,"36"
"1820-06-11",18724,3,"517"
"1820-06-12",4251,1,"740"
"1820-06-12",4,2,"36"
"1820-06-13",4278,1,"1266"
"1820-06-13",4431,2,"1856"
"1820-06-14",2645,1,"1144"
"1820-06-14",6,2,"36"
"1820-06-15",4433,2,"1856"
"1820-06-15",7058,1,"936"
"1820-06-16",8173,1,"1470"
"1820-06-16",7213,1,"284"
"1820-06-16",8,2,"36"
"1820-06-17",718,3,"1383"
"1820-06-17",2606,1,"343"
"1820-06-18",7458,3,"544"
"1820-06-18",2071,3,"968"
"1820-06-19",4284,1,"1266"
"1820-06-19",2547,1,"1280"
"1820-06-19",10059,1,"965"
"1820-06-20",810,1,"1639"
"1820-06-21",7461,3,"544"
"1820-06-21",3203,1,"225"
"1820-06-22",8179,1,"1470"
"1820-06-23",7183,1,"1108"
"1820-06-23",7220,1,"284"
"1820-06-24",4289,1,"1266"
"1820-06-24",4442,2,"1856"
"1820-06-25",3207,1,"225"
"1820-06-28",15570,3,"730"
"1820-06-29",3211,1,"225"
"1820-06-29",21,2,"36"
"1820-06-29",329,1,"640"
"1820-07-01",4270,1,"740"
"1820-07-01",2662,1,"1144"
"1820-07-01",10342,1,"61"
"1820-07-02",6413,1,"1213"
"1820-07-02",2316,3,"990"
"1820-07-03",698,1,"1803"
"1820-07-04",18549,1,"1713"
"1820-07-04",26,2,"36"
"1820-07-05",7232,1,"284"
"1820-07-05",2624,1,"343"
"1820-07-06",2564,1,"1280"
"1820-07-06",28,2,"36"
"1820-07-07",7477,3,"544"
"1820-07-07",8194,1,"1470"
"1820-07-08",703,1,"1803"
"1820-07-08",7081,1,"936"
"1820-07-08",30,2,"36"
"1820-07-09",164,3,"219"
"1820-07-10",2671,1,"1144"
"1820-07-11",6389,3,"1086"
"1820-07-11",17790,3,"51"
"1820-07-12",15584,3,"730"
"1820-07-13",4308,1,"1266"
"1820-07-13",35,2,"36"
"1820-07-13",343,1,"640"
"1820-07-14",7204,1,"1108"
"1820-07-14",169,3,"219"
"1820-07-15",37,2,"36"
"1820-07-15",10085,1,"965"
"1820-07-15",4984,2,"153"
"1820-07-16",711,1,"1803"
"1820-07-16",13617,2,"228"
"1820-07-17",8204,1,"1470"
"1820-07-18",18563,1,"1713"
"1820-07-18",8044,1,"1310"
"1820-07-18",40,2,"36"
"1820-07-20",2578,1,"1280"
"1820-07-20",2639,1,"343"
"1820-07-20",42,2,"36"
"1820-07-21",176,3,"219"
"1820-07-22",44,2,"36"
"1820-07-22",352,1,"640"
"1820-07-24",5970,1,"1797"
"1820-07-24",46,2,"36"
"1820-07-26",2645,1,"343"
"1820-07-26",8052,1,"1310"
"1820-07-26",356,1,"640"
"1820-07-27",2688,1,"1144"
"1820-07-27",49,2,"36"
"1820-07-29",8216,1,"1470"
"1820-07-30",2588,1,"1280"
"1820-07-30",2649,1,"343"
"1820-07-30",52,2,"36"
"1820-07-31",3243,1,"225"
"1820-08-01",7502,3,"544"
"1820-08-01",54,2,"36"
"1820-08-03",4329,1,"1266"
"1820-08-03",7224,1,"1108"
"1820-08-03",8870,1,"1631"
"1820-08-05",2655,1,"343"
"1820-08-05",15608,3,"730"
"1820-08-06",6415,3,"1086"
"1820-08-06",7507,3,"544"
"1820-08-07",8874,1,"1631"
"1820-08-07",60,2,"36"
"1820-08-07",368,1,"640"
"1820-08-08",2658,1,"343"
"1820-08-09",1618,3,"762"
"1820-08-10",8877,1,"1631"
"1820-08-11",7232,1,"1108"
"1820-08-12",198,3,"219"
"1820-08-12",10113,1,"965"
"1820-08-13",2705,1,"1144"
"1820-08-14",1623,3,"762"
"1820-08-15",741,1,"1803"
"1820-08-15",7273,1,"284"
"1820-08-16",1369,3,"1000"
"1820-08-17",70,2,"36"
"1820-08-19",745,1,"1803"
"1820-08-19",7277,1,"284"
"1820-08-19",72,2,"36"
"1820-08-20",6429,3,"1086"
"1820-08-21",17831,3,"51"
"1820-08-21",74,2,"36"
"1820-08-22",208,3,"219"
"1820-08-22",383,1,"640"
"1820-08-23",2368,3,"990"
"1820-08-24",7245,1,"1108"
"1820-08-26",1635,3,"762"
"1820-08-26",2676,1,"343"
"1820-08-27",7528,3,"544"
"1820-08-27",7131,1,"936"
"1820-08-28",7249,1,"1108"
"1820-08-28",8895,1,"1631"
"1820-08-28",7286,1,"284"
"1820-08-29",6438,3,"1086"
"1820-08-30",7531,3,"544"
"1820-08-30",83,2,"36"
"1820-08-31",2723,1,"1144"
"1820-08-31",2681,1,"343"
"1820-09-01",85,2,"36"
"1820-09-01",15635,3,"730"
"1820-09-03",1051,3,"408"
"1820-09-03",87,2,"36"
"1820-09-04",761,1,"1803"
"1820-09-05",8903,1,"1631"
"1820-09-05",2625,1,"1280"
"1820-09-05",89,2,"36"
"1820-09-07",4517,2,"1856"
"1820-09-08",92,2,"36"
"1820-09-09",0,1,"861"
"1820-09-10",94,2,"36"
"1820-09-11",4368,1,"1266"
"1820-09-11",7263,1,"1108"
"1820-09-11",2,1,"861"
"1820-09-12",4522,2,"1856"
"1820-09-12",2693,1,"343"
"1820-09-13",4,1,"861"
"1820-09-13",10966,5,"694"
"1820-09-14",231,3,"219"
"1820-09-15",8913,1,"1631"
"1820-09-15",6,1,"861"
"1820-09-16",898,1,"1639"
"1820-09-16",2392,3,"990"
"1820-09-18",13681,2,"228"
"1820-09-19",10,1,"861"
"1820-09-20",2396,3,"990"
"1820-09-20",412,1,"640"
"1820-09-21",18826,3,"517"
"1820-09-21",12,1,"861"
"1820-09-22",5636,1,"976"
"1820-09-23",15519,3,"1004"
"1820-09-23",3297,1,"225"
"1820-09-24",108,2,"36"
"1820-09-25",8494,1,"1746"
"1820-09-25",18830,3,"517"
"1820-09-26",4383,1,"1266"
"1820-09-26",4536,2,"1856"
"1820-09-27",15523,3,"1004"
"1820-09-28",2648,1,"1280"
"1820-09-29",15525,3,"1004"
"1820-09-29",2710,1,"343"
"1820-09-30",4540,2,"1856"
"1820-10-01",22,1,"861"
"1820-10-01",10984,5,"694"
"1820-10-02",789,1,"1803"
"1820-10-02",2408,3,"990"
"1820-10-03",4543,2,"1856"
"1820-10-03",425,1,"640"
"1820-10-04",7286,1,"1108"
"1820-10-04",2715,1,"343"
"1820-10-05",15531,3,"1004"
"1820-10-06",27,1,"861"
"1820-10-07",4547,2,"1856"
"1820-10-07",2760,1,"1144"
"1820-10-08",122,2,"36"
"1820-10-08",5069,2,"153"
"1820-10-09",30,1,"861"
"1820-10-10",3148,1,"1081"
"1820-10-10",3547,1,"360"
"1820-10-10",2721,1,"343"
"1820-10-12",4399,1,"1266"
"1820-10-12",4552,2,"1856"
"1820-10-13",34,1,"861"
"1820-10-13",127,2,"36"
"1820-10-14",926,1,"1639"
"1820-10-14",2420,3,"990"
"1820-10-15",15679,3,"730"
"1820-10-17",4557,2,"1856"
"1820-10-17",7336,1,"284"
"1820-10-18",0,1,"981"
"1820-10-18",440,1,"640"
"1820-10-19",15545,3,"1004"
"1820-10-20",807,1,"1803"
"1820-10-20",2,1,"981"
"1820-10-20",7185,1,"936"
"1820-10-21",844,3,"1383"
"1820-10-22",1692,3,"762"
"1820-10-23",5,1,"981"
"1820-10-23",137,2,"36"
"1820-10-24",4564,2,"1856"
"1820-10-24",5085,2,"153"
"1820-10-25",7,1,"981"
"1820-10-25",46,1,"861"
"1820-10-26",4413,1,"1266"
"1820-10-26",4566,2,"1856"
"1820-10-27",2780,1,"1144"
"1820-10-28",2678,1,"1280"
"1820-10-28",49,1,"861"
"1820-10-29",143,2,"36"
"1820-10-29",2435,3,"990"
"1820-10-30",7349,1,"284"
"1820-10-30",12,1,"981"
"1820-10-30",452,1,"640"
"1820-10-31",11014,5,"694"
"1820-11-02",856,3,"1383"
"1820-11-02",3570,1,"360"
"1820-11-03",15560,3,"1004"
"1820-11-03",16,1,"981"
"1820-11-04",4575,2,"1856"
"1820-11-05",18,1,"981"
"1820-11-05",2747,1,"343"
"1820-11-06",15563,3,"1004"
"1820-11-08",4579,2,"1856"
"1820-11-09",1326,3,"1866"
"1820-11-09",16717,2,"717"
"1820-11-10",3578,1,"360"
"1820-11-10",2447,3,"990"
"1820-11-11",24,1,"981"
"1820-11-11",63,1,"861"
"1820-11-11",156,2,"36"
"1820-11-12",1329,3,"1866"
"1820-11-13",15570,3,"1004"
"1820-11-14",4585,2,"1856"
"1820-11-14",7364,1,"284"
"1820-11-15",4433,1,"1266"
"1820-11-16",3185,1,"1081"
"1820-11-16",8326,1,"1470"
"1820-11-16",2222,3,"968"
"1820-11-17",15574,3,"1004"
"1820-11-17",30,1,"981"
"1820-11-18",872,3,"1383"
"1820-11-18",961,1,"1639"
"1820-11-19",15576,3,"1004"
"1820-11-20",473,1,"640"
"1820-11-21",34,1,"981"
"1820-11-21",5748,1,"932"
"1820-11-21",5113,2,"153"
"1820-11-22",4593,2,"1856"
"1820-11-22",167,2,"36"
"1820-11-23",841,1,"1803"
"1820-11-23",16731,2,"717"
"1820-11-24",8983,1,"1631"
"1820-11-24",3592,1,"360"
"1820-11-24",2230,3,"968"
"1820-11-26",5753,1,"932"
"1820-11-26",479,1,"640"
"1820-11-27",40,1,"981"
"1820-11-27",79,1,"861"
"1820-11-28",15585,3,"1004"
"1820-11-29",1346,3,"1866"
"1820-11-30",2711,1,"1280"
"1820-11-30",10223,1,"965"
"1820-12-01",4602,2,"1856"
"1820-12-01",8341,1,"1470"
"1820-12-02",7625,3,"544"
"1820-12-02",5759,1,"932"
"1820-12-03",1734,3,"762"
"1820-12-05",15592,3,"1004"
"1820-12-07",2243,3,"968"
"1820-12-08",1355,3,"1866"
"1820-12-09",317,3,"219"
"1820-12-10",15597,3,"1004"
"1820-12-10",10233,1,"965"
"1820-12-10",5132,2,"153"
"1820-12-11",2478,3,"990"
"1820-12-12",860,1,"1803"
"1820-12-12",7355,1,"1108"
"1820-12-12",2723,1,"1280"
"1820-12-13",4461,1,"1266"
"1820-12-13",188,2,"36"
"1820-12-15",6546,3,"1086"
"1820-12-15",97,1,"861"
"1820-12-16",4617,2,"1856"
"1820-12-16",13770,2,"228"
"1820-12-17",7360,1,"1108"
"1820-12-17",2728,1,"1280"
"1820-12-17",1492,3,"1000"
"1820-12-18",8358,1,"1470"
"1820-12-18",3383,1,"225"
"1820-12-19",7642,3,"544"
"1820-12-19",5776,1,"932"
"1820-12-20",4468,1,"1266"
"1820-12-20",7400,1,"284"
"1820-12-21",64,1,"981"
"1820-12-21",1752,3,"762"
"1820-12-22",18720,1,"1713"
"1820-12-22",2794,1,"343"
"1820-12-23",5145,2,"153"
"1820-12-24",18920,3,"517"
"1820-12-24",2491,3,"990"
"1820-12-26",2840,1,"1144"
"1820-12-26",201,2,"36"
"1820-12-27",3341,2,"1103"
"1820-12-28",71,1,"981"
"1820-12-28",511,1,"640"
"1820-12-29",4630,2,"1856"
"1820-12-29",7409,1,"284"
"1820-12-30",7373,1,"1108"
"1820-12-31",2742,1,"1280"
"1820-12-31",206,2,"36"
"1821-01-01",3346,2,"1103"
"1821-01-03",4635,2,"1856"
"1821-01-03",517,1,"640"
"1821-01-04",5792,1,"932"
"1821-01-05",2272,3,"968"
"1821-01-06",80,1,"981"
"1821-01-07",6569,3,"1086"
"1821-01-08",9028,1,"1631"
"1821-01-10",7664,3,"544"
"1821-01-11",15629,3,"1004"
"1821-01-12",3357,2,"1103"
"1821-01-12",1016,1,"1639"
"1821-01-12",5748,1,"976"
"1821-01-13",892,1,"1803"
"1821-01-13",18940,3,"517"
"1821-01-14",8385,1,"1470"
"1821-01-14",1776,3,"762"
"1821-01-15",2757,1,"1280"
"1821-01-15",221,2,"36"
"1821-01-17",3362,2,"1103"
"1821-01-17",2284,3,"968"
"1821-01-18",2863,1,"1144"
"1821-01-18",5806,1,"932"
"1821-01-22",7279,1,"936"
"1821-01-23",4655,2,"1856"
"1821-01-24",903,1,"1803"
"1821-01-24",5090,3,"995"
"1821-01-25",3654,1,"360"
"1821-01-25",10279,1,"965"
"1821-01-26",5092,3,"995"
"1821-01-26",5179,2,"153"
"1821-01-27",4659,2,"1856"
"1821-01-28",7682,3,"544"
"1821-01-29",1033,1,"1639"
"1821-01-31",2773,1,"1280"
"1821-01-31",5097,3,"995"
"1821-02-01",7406,1,"1108"
"1821-02-01",4664,2,"1856"
"1821-02-02",107,1,"981"
"1821-02-03",949,3,"1383"
"1821-02-03",5770,1,"976"
"1821-02-04",15653,3,"1004"
"1821-02-05",2839,1,"343"
"1821-02-05",5824,1,"932"
"1821-02-06",2882,1,"1144"
"1821-02-06",5103,3,"995"
"1821-02-08",1043,1,"1639"
"1821-02-08",2537,3,"990"
"1821-02-09",114,1,"981"
"1821-02-09",5106,3,"995"
"1821-02-10",4673,2,"1856"
"1821-02-10",7452,1,"284"
"1821-02-11",2784,1,"1280"
"1821-02-11",5108,3,"995"
"1821-02-12",1805,3,"762"
"1821-02-13",959,3,"1383"
"1821-02-13",3673,1,"360"
"1821-02-15",7420,1,"1108"
"1821-02-15",5112,3,"995"
"1821-02-16",2314,3,"968"
"1821-02-17",16817,2,"717"
"1821-02-17",5114,3,"995"
"1821-02-18",4681,2,"1856"
"1821-02-19",7424,1,"1108"
"1821-02-19",2792,1,"1280"
"1821-02-20",18014,3,"51"
