id,creative_actor,work_produced,as_librettist,as_composer
1,441,1,false,true
2,96,1,true,false
3,447,1,true,false
4,296,2,false,true
5,613,2,false,true
6,14,2,true,false
7,318,2,true,false
8,414,3,false,true
9,213,3,true,false
10,552,3,true,false
11,0,4,false,true
12,429,4,false,true
13,442,4,true,false
14,552,4,true,false
15,307,5,false,true
16,393,5,true,false
17,436,5,true,false
18,311,6,false,true
19,98,6,true,false
20,442,6,true,false
21,18,7,false,true
22,442,7,true,false
23,552,7,true,false
24,18,8,false,true
25,442,8,true,false
26,552,8,true,false
27,47,9,false,true
28,250,9,true,false
29,361,10,false,true
30,8,10,true,false
31,213,10,true,false
32,18,11,false,true
33,552,11,true,false
34,64,12,false,true
35,488,12,true,false
36,335,13,false,true
37,442,13,true,false
38,552,13,true,false
39,97,14,false,true
40,213,14,true,false
41,488,14,true,false
42,117,15,false,true
43,387,15,true,false
44,52,16,false,true
45,415,16,true,false
46,552,16,true,false
47,307,17,false,true
48,311,17,false,true
49,590,17,true,false
50,322,18,false,true
51,266,18,true,false
52,429,19,false,true
53,381,19,true,false
54,590,19,true,false
55,67,20,false,true
56,385,20,true,false
57,18,21,false,true
58,160,21,true,false
59,552,21,true,false
60,497,22,false,true
61,85,22,true,false
62,381,22,true,false
63,322,23,false,true
64,139,23,true,false
65,528,23,true,false
66,296,24,false,true
67,553,24,true,false
68,0,25,false,true
69,381,25,true,false
70,552,25,true,false
71,142,26,false,true
72,483,26,true,false
73,142,27,false,true
74,407,27,true,false
75,466,28,false,true
76,270,28,true,false
77,37,29,false,true
78,180,29,true,false
79,260,30,false,true
80,213,30,true,false
81,488,30,true,false
82,73,31,false,true
83,289,31,true,false
84,488,31,true,false
85,405,32,false,true
86,213,32,true,false
87,488,32,true,false
88,277,33,false,true
89,278,33,true,false
90,66,34,false,true
91,488,34,true,false
92,552,34,true,false
93,41,35,false,true
94,172,35,true,false
95,490,36,false,true
96,488,36,true,false
97,335,37,false,true
98,272,37,true,false
99,591,37,true,false
100,459,38,false,true
101,444,38,true,false
102,535,38,true,false
103,142,39,false,true
104,407,39,true,false
105,311,40,false,true
106,488,40,true,false
107,260,41,false,true
108,488,41,true,false
109,528,41,true,false
110,54,42,false,true
111,266,42,true,false
112,0,43,false,true
113,381,43,true,false
114,590,43,true,false
115,612,44,false,true
116,102,44,true,false
117,552,44,true,false
118,97,45,false,true
119,348,45,true,false
120,436,45,true,false
121,331,46,false,true
122,16,46,true,false
123,603,46,true,false
124,505,47,false,true
125,370,47,true,false
126,552,47,true,false
127,307,48,false,true
128,590,48,true,false
129,322,49,false,true
130,290,49,true,false
131,597,49,true,false
132,311,50,false,true
133,35,50,true,false
134,552,50,true,false
135,108,51,false,true
136,293,51,true,false
137,342,52,false,true
138,552,52,true,false
139,296,53,false,true
140,464,53,true,false
141,322,54,false,true
142,163,54,true,false
143,0,55,false,true
144,412,55,true,false
145,593,55,true,false
146,595,55,true,false
147,571,56,false,true
148,488,56,true,false
149,268,57,false,true
150,139,57,true,false
151,54,58,false,true
152,159,58,true,false
153,383,59,false,true
154,4,59,true,false
155,449,59,true,false
156,0,60,false,true
157,98,60,true,false
158,137,60,true,false
159,277,61,false,true
160,591,61,true,false
161,400,62,false,true
162,134,62,true,false
163,401,62,true,false
164,78,63,false,true
165,148,63,true,false
166,149,63,true,false
167,307,64,false,true
168,590,64,true,false
169,311,65,false,true
170,333,65,true,false
171,342,66,false,true
172,156,66,true,false
173,526,66,true,false
174,529,67,false,true
175,272,67,true,false
176,69,68,false,true
177,552,68,true,false
178,589,68,true,false
179,336,69,false,true
180,540,69,true,false
181,591,69,true,false
182,18,70,false,true
183,160,70,true,false
184,552,70,true,false
185,142,71,false,true
186,407,71,true,false
187,54,72,false,true
188,209,72,true,false
189,67,73,false,true
190,139,73,true,false
191,236,73,true,false
192,513,74,false,true
193,552,74,true,false
194,103,75,false,true
195,483,75,true,false
196,335,76,false,true
197,148,76,true,false
198,271,77,false,true
199,488,77,true,false
200,612,78,false,true
201,552,78,true,false
202,590,78,true,false
203,162,79,false,true
204,209,79,true,false
205,567,79,true,false
206,572,80,false,true
207,211,80,true,false
208,552,80,true,false
209,277,81,false,true
210,333,81,true,false
211,307,82,false,true
212,537,82,false,true
213,89,82,true,false
214,579,82,true,false
215,571,83,false,true
216,85,83,true,false
217,381,83,true,false
218,613,84,false,true
