id,date,work_performed,primary_source
1,1820-01-01,26,TH OC-90
2,1820-01-01,239,TH OC-90
3,1820-01-01,248,TH OC-90
4,1820-01-02,262,TH OC-90
5,1820-01-02,333,TH OC-90
6,1820-01-03,140,TH OC-90
7,1820-01-03,349,TH OC-90
8,1820-01-03,383,TH OC-90
9,1820-01-04,219,TH OC-90
10,1820-01-04,377,TH OC-90
11,1820-01-05,95,TH OC-90
12,1820-01-05,75,TH OC-90
13,1820-01-06,140,TH OC-90
14,1820-01-06,177,TH OC-90
15,1820-01-06,226,TH OC-90
16,1820-01-07,290,TH OC-90
17,1820-01-07,322,TH OC-90
18,1820-01-08,140,TH OC-90
19,1820-01-08,336,TH OC-90
20,1820-01-09,140,TH OC-90
21,1820-01-09,349,TH OC-90
22,1820-01-09,241,TH OC-90
23,1820-01-10,104,TH OC-90
24,1820-01-10,54,TH OC-90
25,1820-01-10,73,TH OC-90
26,1820-01-11,140,TH OC-90
27,1820-01-11,215,TH OC-90
28,1820-01-11,151,TH OC-90
29,1820-01-12,18,TH OC-90
30,1820-01-12,160,TH OC-90
31,1820-01-12,378,TH OC-90
32,1820-01-13,139,TH OC-90
33,1820-01-13,177,TH OC-90
34,1820-01-13,349,TH OC-90
35,1820-01-14,26,TH OC-90
36,1820-01-14,190,TH OC-90
37,1820-01-14,375,TH OC-90
38,1820-01-15,336,TH OC-90
39,1820-01-15,380,TH OC-90
40,1820-01-16,282,TH OC-90
41,1820-01-16,383,TH OC-90
42,1820-01-17,388,TH OC-90
43,1820-01-17,315,TH OC-90
44,1820-01-18,150,TH OC-90
45,1820-01-18,378,TH OC-90
46,1820-01-19,104,TH OC-90
47,1820-01-19,255,TH OC-90
48,1820-01-19,315,TH OC-90
49,1820-01-20,196,TH OC-90
50,1820-01-20,241,TH OC-90
51,1820-01-22,336,TH OC-90
52,1820-01-22,315,TH OC-90
53,1820-01-23,219,TH OC-90
54,1820-01-23,290,TH OC-90
55,1820-01-24,95,TH OC-90
56,1820-01-24,75,TH OC-90
57,1820-01-25,140,TH OC-90
58,1820-01-25,135,TH OC-90
59,1820-01-25,289,TH OC-90
60,1820-01-26,104,TH OC-90
61,1820-01-26,73,TH OC-90
62,1820-01-26,378,TH OC-90
63,1820-01-27,224,TH OC-90
64,1820-01-27,306,TH OC-90
65,1820-01-28,139,TH OC-90
66,1820-01-28,380,TH OC-90
67,1820-01-29,120,TH OC-90
68,1820-01-29,224,TH OC-90
69,1820-01-30,95,TH OC-90
70,1820-01-30,315,TH OC-90
71,1820-01-31,226,TH OC-90
72,1820-01-31,224,TH OC-90
73,1820-02-01,300,TH OC-90
74,1820-02-01,367,TH OC-90
75,1820-02-02,255,TH OC-90
76,1820-02-02,388,TH OC-90
77,1820-02-03,289,TH OC-90
78,1820-02-03,224,TH OC-90
79,1820-02-04,104,TH OC-90
80,1820-02-04,140,TH OC-90
81,1820-02-04,160,TH OC-90
82,1820-02-05,179,TH OC-90
83,1820-02-05,224,TH OC-90
84,1820-02-06,248,TH OC-90
85,1820-02-06,143,TH OC-90
86,1820-02-07,367,TH OC-90
87,1820-02-07,377,TH OC-90
88,1820-02-08,224,TH OC-90
89,1820-02-08,136,TH OC-90
90,1820-02-09,289,TH OC-90
91,1820-02-09,95,TH OC-90
92,1820-02-10,26,TH OC-90
93,1820-02-10,224,TH OC-90
94,1820-02-11,53,TH OC-90
95,1820-02-11,179,TH OC-90
96,1820-02-11,136,TH OC-90
97,1820-02-12,224,TH OC-90
98,1820-02-12,315,TH OC-90
99,1820-02-13,160,TH OC-90
100,1820-02-13,388,TH OC-90
101,1820-02-14,117,TH OC-90
102,1820-02-14,224,TH OC-90
103,1820-02-23,226,TH OC-90
104,1820-02-23,378,TH OC-90
105,1820-02-23,315,TH OC-90
106,1820-02-24,333,TH OC-90
107,1820-02-24,143,TH OC-90
108,1820-02-25,1,TH OC-90
109,1820-02-25,336,TH OC-90
110,1820-02-26,160,TH OC-90
111,1820-02-26,363,TH OC-90
112,1820-02-26,136,TH OC-90
113,1820-02-27,150,TH OC-90
114,1820-02-27,262,TH OC-90
115,1820-02-28,104,TH OC-90
116,1820-02-28,73,TH OC-90
117,1820-02-28,79,TH OC-90
118,1820-02-29,224,TH OC-90
119,1820-02-29,315,TH OC-90
120,1820-03-01,255,TH OC-90
121,1820-03-01,388,TH OC-90
122,1820-03-02,135,TH OC-90
123,1820-03-02,313,TH OC-90
124,1820-03-02,151,TH OC-90
125,1820-03-03,95,TH OC-90
126,1820-03-03,160,TH OC-90
127,1820-03-04,336,TH OC-90
128,1820-03-04,224,TH OC-90
129,1820-03-05,117,TH OC-90
130,1820-03-05,241,TH OC-90
131,1820-03-06,139,TH OC-90
132,1820-03-06,224,TH OC-90
133,1820-03-07,383,TH OC-90
134,1820-03-07,325,TH OC-90
135,1820-03-08,26,TH OC-90
136,1820-03-08,53,TH OC-90
137,1820-03-08,12,TH OC-90
138,1820-03-09,224,TH OC-90
139,1820-03-09,377,TH OC-90
140,1820-03-10,120,TH OC-90
141,1820-03-10,325,TH OC-90
142,1820-03-11,289,TH OC-90
143,1820-03-11,224,TH OC-90
144,1820-03-12,336,TH OC-90
145,1820-03-12,143,TH OC-90
146,1820-03-13,300,TH OC-90
147,1820-03-13,380,TH OC-90
148,1820-03-15,53,TH OC-90
149,1820-03-15,224,TH OC-90
150,1820-03-16,117,TH OC-90
151,1820-03-16,143,TH OC-90
152,1820-03-17,224,TH OC-90
153,1820-03-17,315,TH OC-90
154,1820-03-18,95,TH OC-90
155,1820-03-18,226,TH OC-90
156,1820-03-19,139,TH OC-90
157,1820-03-19,224,TH OC-90
158,1820-03-20,349,TH OC-90
159,1820-03-20,241,TH OC-90
160,1820-03-21,53,TH OC-90
161,1820-03-21,120,TH OC-90
162,1820-03-21,378,TH OC-90
163,1820-03-22,239,TH OC-90
164,1820-03-22,224,TH OC-90
165,1820-03-23,224,TH OC-90
166,1820-03-23,151,TH OC-90
167,1820-03-24,104,TH OC-90
168,1820-03-24,160,TH OC-90
169,1820-03-24,136,TH OC-90
170,1820-03-25,289,TH OC-90
171,1820-03-25,224,TH OC-90
172,1820-03-26,104,TH OC-90
173,1820-03-26,26,TH OC-90
174,1820-03-26,73,TH OC-90
175,1820-04-03,18,TH OC-90
176,1820-04-03,160,TH OC-90
177,1820-04-03,315,TH OC-90
178,1820-04-04,135,TH OC-90
179,1820-04-04,239,TH OC-90
180,1820-04-04,383,TH OC-90
