id,surname,given_names,wikidata_id
0,Adam,Adolphe Charles,
1,Ader,Jean-Joseph,
2,Advenier de Fontenille,Hippolyte Antoine,
3,Aignan,Étienne,
4,Alboise du Pujol,Jules Édouard,
5,Alexandre,Charles Guillaume,
6,Alissan de Chazet,René André Polydore,
7,Allarde,"Marie François Denis Thérésa Le Roi, baron d'",
8,Ancelot,Jacques Arsène Polycarpe François,
9,Andrieux,François Guillaume Jean Stanislas,
10,Anfossi,Pasquale,
11,Anicet-Bourgeois,Auguste,
12,Année,Antoine,
13,Anon.,,
14,Anseaume,Louis,
15,Arnault,Antoine Vincent,
16,Arnould,Auguste,
17,Arnoult,Alexis Étienne Pierre Henri,
18,Auber,Daniel François Esprit,
19,Audibert,Auguste,
20,Audinot,Nicolas Médard,
21,Audouin,François Xavier,
22,Azémar,Louis Guérin d',
23,Baccelli,Domenico,
24,Balfe,Michael William,
25,Bambini,Felice,
26,Baour-Lormian,Louis Pierre Marie François,
27,Barni,Camille,
28,Barré,Pierre Yvon,
29,Barthélémon,François Hippolyte,
30,Basset,Charles,
31,Bastide,Jean-François,
32,Batton,Désiré Alexandre,
33,Baudron,Antoine Laurent,
34,Baurans,Pierre,
35,Bayard,Jean François Alfred,
36,Bayon,Marie Emmanuelle,
37,Bazin,François Emmanuel Joseph,
38,Beaumarchais,Pierre Augustin Caron de,
39,Beaunier,A. Louis,
40,Beaunoir,"Alexandre Louis Bertrand Robineau, dit Alexandre",
41,Beauplan,Amédée Joseph Louis Rousseau de,
42,Beauplan,Victor Arthur Rousseau de,
43,Beffroy de Reigny,Louis Abel,
44,Belle,Gabriel Alexandre,
45,Benda,Georg,
46,Benicori,Angelo Maria,
47,Benoist,François,
48,Berlioz,Louis Hector,
49,Bernard-Valville,"François Bernard, dit",
50,Bertaud,,
51,Bertin d'Antilly,Auguste Louis,
52,Bertin,Louise Angélique,
53,Berton,Henri François,
54,Berton,Henri Montan,
55,Bianchi,Francesco,
56,Biancolelli,Marie-Thérèse,
57,Bibiena,Jean Galli de,
58,Billardon de Sauvigny,Louis Edme,
59,Billioni,"Michel Rieu Billion, dit",
60,Bins de Saint-Victor,Jacques Maximilien Benjamin,
61,Blaise,Adolphe Benoît,
62,Blangini,Giuseppe Marco Mario Felice,
63,Blasius,Matthieu Frédéric,
64,Bochsa,Robert Nicolas Charles,
65,Bodekin,,
66,Boieldieu,Adrien Louis Victor,
67,Boieldieu,François Adrien,
68,Boilly,Édouard,
69,Boisselot,Dominique François Xavier,
70,Boissy,Louis de,
71,Bonesi,Barnaba,
72,Bonnefoy de Bonyon,François Lambert (abbé),
73,Bordèse,Luigi,
74,Bouchard,Armand de,
75,Bouilly,Jean Nicolas,
76,Boulanger,Ernest Henri Alexandre,
77,Bourges,Jean Maurice,
78,Bousquet,André Georges Jacques,
79,Bouteiller,Pierre Guillaume de,
80,Boutet de Monvel,Jacques Marie,
81,Boutillier,Maximilien Jean,
82,Brousse-Desfaucherets,Jean-Louis,
83,Brunet,Claude,
84,Bruni,Antonio Bartolomeo,
85,Brunswick,"Léon Lévy, dit Léon",
86,Bréant de Fontenay,Adolphe,
87,Bréval,Jean-Baptiste Sébastien,
88,Bujac,,
89,Bury,Fulgence Joseph Désiré de,
90,Cadaux,Justin,
91,Cailhava de l'Estendoux,Jean-François,
92,Cailly,Adrien-Guillaume,
93,Calvimont,Albert de,
94,Cambini,Giuseppe Maria,
95,Candeille,Amélie-Julie,
96,Capelle,Pierre Adolphe,
97,Carafa,Michele Enrico Francesco Vicenzo,
98,Carmouche,Pierre Frédéric Adolphe,
99,Carrière-Dosin,A.,
100,Castel,René Richard Louis,
101,Castet,N.,
102,Castil-Blaze,"François Henri Joseph Blaze, dit",
103,Catel,Charles Simon,
104,Catrufo,Giuseppe,
105,Cavé,Hygin Auguste,
106,Chamfort,Sébastien Roch Nicolas,
107,Champeaux,Étienne Junien de,
108,Champein,Marie François Stanislas,
109,Chancourtois,Louis,
110,Chapelle,Pierre David Augustin,
111,Charbonnières,Alexis de,
112,Chardiny,"Louis Armand Chardin, dit",
113,Charlemagne,Jean Armand,
114,Chartrain,Nicolas Joseph,
115,Chastenet de Puységur,Armand Marc Jacques de,
116,Chelard,Hippolyte André Jean-Baptiste,
117,Cherubini,Mario Luigi Carlo Zanobi Salvadore,
118,Choderlos de Laclos,Pierre Ambroise François,
119,Choquart,Adolphe,
120,Ciampi,Vincenzo,
121,Cifolelli,Giovanni,
122,Cimarosa,Domenico,
123,Claparède,,
124,Clapisson,Antoine Louis,
125,Clément,Charles François,
126,Coffin-Rony,André Jacques,
127,Cogniard,Charles Théodore,
128,Cogniard,Jean Hippolyte,
129,Colalto,Antoine Mattiuci,
130,Colet,Hippolyte Raymond,
131,Collet de Messine,Jean-Baptiste,
132,Collé,Charles,
133,Coppola,Pier Antonio,
134,Cormon,"Pierre Étienne Piestre, dit",
135,Corsange de La Plante,Jean François Jacques,
136,Coupigny,André-François de,
137,Courcy,Frédéric de,
138,Court de Fontmichel,Hippolyte Honoré Joseph,
139,Creuzé de Lesser,Auguste François,
140,Crémont,Pierre,
141,Cuinet-Dorbeil,,
142,Dalayrac,Nicolas Marie,
143,Dalvimare,Martin Pierre,
144,Dancourt,Louis Hurtout,
145,Danzel de Malzéville,,
146,Darcis,François-Joseph,
147,Darondeau,Benoni,
148,Dartois,"Charles Achille d'Artois de Bournonville, dit Achille",
149,Dartois,"François Victor d'Artois de Bournonville, dit Armand",
150,Daussoigne-Méhul,Louis Joseph,
151,Dauvergne,Antoine,
152,Davaux,Jean-Baptiste,
153,Davesne,Bertin,
154,De Bussy,,
155,Deblois,"Charles Gui Xavier van Gronnerade, dit Charles",
156,Decomberousse,Alexis Barbe Benoît,
157,Dehesse,"Jean-Baptiste François Deshayes, dit",
158,Dejaure,Jean-Claude Bedenc,
159,Dejaure,Jean-Élie Bedenc,
160,Delavigne,Germain,
161,Delestre-Poirson,"Charles Gaspard Poirson, dit",
162,Della Maria,Pierre Antoine Domenico,
163,Delrieu,Étienne Joseph Bernard,
164,Demautort,Jacques Benoît,
165,Demoustier,Charles Albert,
166,Dennery,Adolphe Philippe,
167,Dercy,Pierre,
168,Des Rochers,,
169,Desboulmiers,"Jean Auguste Jullien, dit",
170,Desbrosses,Robert,
171,Deschamps,Jacques Marie,
172,Deschamps,Émile,
173,Descombles,,
174,Desessarts d'Ambreville,Joseph,
175,Desfontaines,"François Georges Fouques, dit",
176,Desforges,Mlle,
177,Desforges,"Pierre Jean-Baptiste Choudard, dit",
178,Deshayes,Prosper Didier,
179,Deslandes,Nicolas Théodore Paulin,
180,Desnoyer,Charles Louis François,
181,Despréaux,"Guglielmo Ross, dit",
182,Després,Jean-Baptiste Denis,
183,Devaux,François Antoine,
184,Devienne,François,
185,Devismes de Saint-Alphonse,Alphonse Marie Denis,
186,Dezède,Florine,
187,Dezède,Nicolas,
188,Dieulafoy,Joseph Marie Armand Michel,
189,Doche,Alexandre Pierre Joseph,
190,Doismont (avocat au Parlement),,
191,Donizetti,Domenico Gaetano Maria,
192,Dorvigny,"Louis François Archambault, dit",
193,Dourlen,Victor Charles Paul,
194,Dozaux (fils),,
195,Dubaut,,
196,Dubois de Jancigny,Jean-Baptiste,
197,Dubois,C.,
198,Dubois,Charles,
199,Dubuisson,Paul Ulrich,
200,Ducis,Paul Auguste,
201,Ducongé-Dubreuil,"Alphonse, dit Dubreuil",
202,Dugazon,Alexandre Louis Gustave,
203,Dulac,,
204,Dumanoir,"Philippe François Pinel, dit Philippe",
205,Dumas,Alexandre (père),
206,Dumersan,Théophile Marion,
207,Dumolard,Henri François,
208,Duni,Egidio Romualdo,
209,Dupaty,"Louis Emmanuel Mercier, dit Mercier-Dupaty",
210,Dupeuty,Charles Désiré,
211,Dupin,Jean Henri,
212,Duport,Auguste,
213,Duport,Paul,
214,Duret,Marcel Antoine,
215,Durosoy,Barnabé Farmian,
216,Dutremblay,A.P.,
217,Duval,Georges,
218,Duval,Mlle C.,
219,Duveyrier,Charles (fils),
220,Duveyrier,Honoré Marie Nicolas (père),
221,Désaugiers,,
222,Désaugiers,Marc Antoine (père),
223,Désaugiers,Marc-Antoine Madeleine (fils),
224,Désormery,Léopold Bastien,
225,Eler,André Frédéric,
226,Elleviou,Pierre Jean-Baptiste,
227,Estourmel,A. d',
228,Estourmel,Louis Marie d',
229,Fabre d'Églantine,"Philippe Nazaire François Fabre, dit",
230,Fagan,Barthélémy Christophe,
231,Fallet,Nicolas,
232,Faur,Louis François,
233,Favart,Charles Nicolas Justin,
234,Favart,Charles Simon,
235,Favart,"Marie Justine Benoîte Cabaret Duronceray, Mme",
236,Favières,Edmond Guillaume François de,
237,Fay,Étienne,
238,Federico,Gennaro Antonio,
239,Felicini (Laurent),,
240,Feltre,Alphonse de,
241,Fenouillot de Falbaire de Quingey,Charles Georges,
242,Ferrières,Alexandre de,
243,Fiocchi,Vincenzo,
244,Fiévée,Joseph,
245,Floquet,Étienne Joseph,
246,Florian,Jean-Pierre Claris de,
247,Flotow,Friedrich von,
248,Foignet,Charles Gabriel,
249,Follet,Auguste,
250,Fontanès de Saint-Marcellin,Jean Victor,
251,Forbin,Louis Nicolas Philippe Auguste de,
252,Forgeot,Nicolas Julien,
253,Foucher,Paul Henri,
254,Fournier,A.G.,
255,Framery,Nicolas Étienne,
256,Fridzeri,Alessandro Mario Antonio,
257,Fromaget,Nicolas,
258,Fusée de Voisenon,Claude Henri,
259,Fuzelier,Louis,
260,Fétis,François Joseph,
261,Gail,Edmée Sophie (née Garre),
262,Gandonnière,Almire,
263,García,"Vicente Rodríguez, dit Manuel",
264,Garnier,Charles Georges Thomas,
265,Gasse,Ferdinand,
266,Gaugiran-Nanteuil,P. Charles,
267,Gautier,,
268,Gaveaux,Pierre,
269,Gaviniès,Pierre,
270,Gay,Sophie,
271,Genin,F.,
272,Gensoul,Marie Alexis Justin,
273,Gentil de Chavagnac,Michel Joseph,
274,Gersin,N.,
275,Gibert,Paul César,
276,Gide,Casimir,
277,Ginestet,Prosper de,
278,Ginestet,Émilien de,
279,Girard,Narcisse,
280,Gluck,Christoph Willibald,
281,Godard d'Aucour de Saint-Just,Claude,
282,Godefroid,Jules Joseph,
283,Goldoni,Carlo,
284,Gomis,José Melchior,
285,Gondot,Pierre Thomas,
286,Gori,Antonio,
287,Gosse,Étienne,
288,Gossec,François Joseph,
289,Goubaux,Prosper Parfait,
290,Gouffé,Armand,
291,Goulard,Jean-François Thomas,
292,Gourbillon,Joseph Antoine,
293,Grenier,,
294,Gresnick,Antoine Frédéric,
295,Grisar,Albert,
296,Grétry,André Ernest Modeste,
297,Grétry,André Joseph,
298,Grétry,Angélique Dorothée Louise Lucile,
299,Guichard,Jean-François,
300,Guilbert de Pixérécourt,René Charles,
301,Guillard,Nicolas François,
302,Guillet,P.,
303,Guinguené,Pierre Louis,
304,Guy,Jean Henri,
305,Guénée,Pierre Luc,
306,Guérin de Frémicourt,Jean Nicolas,
307,Halévy,Jacques Fromental Elie,
308,Halévy,Léon,
309,Harny de Guerville,,
310,Herbain,Chevalier d',
311,Herold,Louis Joseph Ferdinand,
312,Hinner,Philipp Joseph,
313,Hoffman,François Benoît Henri,
314,Houbron,,
315,Humbert,Auguste,
316,Hurtado,Antonio,
317,Hus,"P.E. Staupleton, dit Eugène",
318,Hèle,Thomas d',
319,Hélitas de Meun,Joseph,
320,Héquet,Charles Joseph Gustave,
321,Imbert,Barthélémy,
322,Isouard,"Nicolas, dit Nicolò",
323,Jadin,Adolphe,
324,Jadin,Louis Emmanuel,
325,Jalabert,C.,
326,Jars,Antoine Gabriel,
327,Joigny,,
328,Josse,Giovanni,
329,Jouy,"Victor Joseph Étienne, dit Étienne de",
330,Junquières,Jean-Baptiste René de,
331,Kastner,Jean Georges,
332,Kind,Johann Friedrich,
333,Kock,Charles Paul de,
334,Kohaut,Josef Wenzel Thomas,
335,Kreubé,Charles Frédéric,
336,Kreutzer,Rodolphe,
337,La Martelière,Jean Henri Ferdinand,
338,La Moskova,"Joseph Napoléon Ney, prince de",
339,La Ribardière,,
340,La Roche,Guillemain Charles J.,
341,La Salle d'Offémont,Adrien Nicolas Piédefer de,
342,Labarre,"Théodore François Joseph Berry, dit Théodore",
343,Laborde,Jean Benjamin de,
344,Laboullaye,Ferdinand Simon de,
345,Lachnith,Ludwig Wenzel,
346,Lacour,Louis,
347,Lafitte,Jean,
348,Lafortelle,A.M.,
349,Lambert,L.T.,
350,Landrin,C.,
351,Lantier,Étienne François de,
352,Laruette,Jean-Louis,
353,Laugier,Balthazar Marie,
354,Laujon,Pierre,
355,Laval,"Paul Antoine Nolivos Saint-Cyr, dit",
356,Le Couppey de La Rozière,Jean René,
357,Le Grand,Jean-Pierre,
358,Le Sueur,Jean-François,
359,Le Sénéchal de Kerkado,Mlle,
360,Leber,Jean Michel Constant,
361,Leborne,Aimé Ambroise Simon,
362,Lebrun,Louis Sébastien,
363,Lebrun-Tossa,"Jean Antoine Brun, dit",
364,Lefebvre,Joseph,
365,Lefroid de Méreaux,Jean Nicolas,
366,Lefèbvre,Noël,
367,Legouvé,Gabriel Marie Jean-Baptiste,
368,Lemaignan,Mme,
369,Lemière de Corvey,Jean Frédéric,
370,Lemoine,Gustave,
371,Lemonnier,Pierre René,
372,Lemontey,Pierre Édouard,
373,Lemoyne,Jean-Baptiste,
374,Lepoitevin de Légreville Saint-Alme,Auguste,
375,Leprévost,Étienne Alexandre,
376,Leprêtre,,
377,Lesage,Alain-René,
