id,charlton_id,is_revision,is_borrowed,n_acts,creation_date,title
1,1000,false,false,3,1816-11-16,La Journée aux aventures
2,1004,false,true,3,1778-03-28,Le Jugement de Midas
3,1018,false,false,1,1842-11-02,Le Kiosque
4,1027,false,false,3,1843-09-14,Lambert Simnel
5,1028,false,false,1,1830-12-11,La Langue musicale
6,1030,false,false,1,1825-05-21,Le Lapin blanc ou Toby
7,1044,false,false,3,1823-01-25,Leicester ou le Château de Kenilworth
8,1045,false,false,3,1824-11-04,Léocadie
9,1050,false,false,1,1821-11-27,Léonore et Félix ou C'est la même !
10,1052,false,false,1,1838-03-21,Lequel ?
11,1053,false,false,4,1834-05-24,Lestocq ou l'Intrigue et l'amour
12,1055,false,false,1,1815-12-11,La Lettre de change
13,1056,false,false,1,1827-04-24,La Lettre posthume
14,1064,false,false,2,1831-08-11,Le Livre de l'ermite
15,1067,false,false,3,1791-07-18,Lodoïska
16,1073,false,false,1,1827-03-10,Le Loup-garou
17,1080,false,false,2,1833-05-16,Ludovic
18,1081,false,false,1,1812-02-27,Lulli et Quinault ou le Déjeuner impossible
19,1084,false,false,1,1836-06-30,Le Luthier de Vienne
20,1086,false,false,3,1803-01-13,Ma Tante Aurore ou le Roman impromptu
21,1089,false,false,3,1825-05-03,Le Maçon
22,1099,false,false,1,1841-12-14,Mademoiselle de Mérange
23,1103,false,false,2,1811-11-04,Le Magicien sans magie
24,1105,false,false,3,1773-03-04,Le Magnifique
25,1107,false,false,3,1841-10-26,La Main de fer ou Un mariage secret
26,1108,false,false,1,1800-10-23,Maison à vendre
27,1110,false,false,2,1797-05-11,La Maison isolée ou le Vieillard des Vosges
28,1115,false,false,2,1821-03-29,Le Maître de chapelle ou le Souper imprévu
29,1122,false,false,1,1847-05-18,Le Malheur d'être jolie
30,1128,false,false,1,1832-03-01,Le Mannequin de Bergame
31,1131,false,false,1,1838-12-31,La Mantille
32,1135,false,false,3,1834-10-31,Le Marchand forain
33,1138,false,false,1,1823-08-02,Le Maréchal Fabert ou Une petite aventure d'un grand homme
34,1140,false,false,3,1838-06-18,Marguerite
35,1142,false,false,1,1845-10-25,Le Mari au bal
36,1144,false,false,1,1813-03-18,Le Mari de circonstance
37,1145,false,false,1,1828-03-04,Le Mariage à l'anglaise
38,1151,false,false,1,1823-02-19,Le Mariage difficile ou les Deux Cousins
39,1160,false,false,1,1796-07-07,Marianne ou l'Amour maternel
40,1161,false,false,3,1826-08-12,Marie
41,1164,false,false,3,1823-08-30,Marie Stuart en Écosse ou le Château de Douglas
42,1170,false,false,1,1806-07-15,Les Maris garçons
43,1174,false,false,1,1835-02-28,La Marquise
44,1175,false,true,3,1831-10-31,La Marquise de Brinvilliers
45,1177,false,false,4,1827-12-27,Masaniello ou le Pêcheur napolitain
46,1179,false,false,2,1841-06-17,La Maschera
47,1189,false,false,1,1835-10-01,Le Mauvais Œil
48,119,false,false,1,1827-01-30,L'Artisan
49,1194,false,false,1,1803-11-19,Le Médecin turc
50,1195,false,false,1,1832-10-17,La Médecine sans médecin
51,1200,false,false,1,1781-01-23,La Mélomanie
52,1203,false,false,3,1845-08-09,Le Ménétrier ou les Deux Duchesses
53,1208,false,false,3,1786-11-07,Les Méprises par ressemblance
54,1213,false,false,1,1802-12-11,Michel-Ange
55,1214,false,false,1,1835-06-29,Micheline ou l'Heure de l'Esprit
56,1219,false,false,3,1843-10-10,Mina ou le Ménage à trois
57,1233,false,false,3,1806-02-17,Monsieur Deschalumeaux ou la Soirée de carnaval
58,1234,false,false,3,1799-04-15,Montano et Stéphanie
59,1235,false,false,3,1849-03-31,Les Monténégrins
60,1236,false,false,1,1831-03-07,Le Morceau d'ensemble
61,1237,false,false,1,1833-01-16,Le Mort fiancé
62,1239,false,false,1,1849-11-09,Le Moulin des tilleuls
63,1240,false,false,1,1844-10-14,Le Mousequetaire
64,1241,false,false,3,1846-02-03,Les Mousquetaires de la reine
65,1244,false,false,1,1823-05-12,Le Muletier
66,125,false,false,2,1834-06-11,L'Aspirant de marine
67,1250,false,false,3,1822-07-27,Nadir et Selim ou les Deux Artistes
68,1254,false,false,3,1847-01-16,Ne touchez pas à la reine !
69,1257,false,false,3,1821-10-15,Le Négociant de Hambourg
70,1260,false,false,4,1823-10-08,La Neige ou le Nouvel Eginhard
71,1264,false,false,1,1786-05-15,Nina ou la Folle par amour
72,1266,false,false,1,1808-09-26,Ninon chez Madame de Sévigné
73,1280,false,false,1,1813-06-29,Le Nouveau Seigneur de village
74,1287,false,false,3,1848-02-09,La Nuit de Noël ou l'Anniversaire
75,1294,false,false,1,1819-05-04,L'Officier enlevé ou l'Enlèvement singulier
76,1295,false,false,1,1824-07-31,L'Officier et le paysan
77,1304,false,false,1,1843-04-28,On ne s'avise jamais de tout
78,1307,false,true,1,1840-07-16,L'Opéra à la cour
79,1310,false,false,1,1798-07-09,L'Opéra-Comique
80,1312,false,false,1,1844-02-28,Oreste et Pylade
81,1318,false,false,2,1827-10-13,L'Orphelin et le brigadier
82,132,false,false,1,1830-05-27,Attendre et courir
83,1328,false,false,1,1839-05-06,Le Panier fleuri
84,1329,false,true,1,1821-04-30,Le Panorama de Paris ou C'est fête partout !
85,1334,false,false,3,1822-03-23,Le Paradis de Mahomet ou la Pluralité des femmes
86,1338,false,false,1,1824-05-13,Le Pari de la duchesse d'Alençon
87,1341,false,false,3,1843-01-16,La Part du diable
88,1349,false,false,1,1832-11-05,Le Passage du régiment
89,1352,false,false,3,1791-01-15,Paul et Virginie
90,1357,false,false,1,1822-05-13,Le Pavillon des fleurs ou les Pêcheurs de Grenade
91,1370,false,false,1,1841-03-25,Le Pendu
92,1373,false,false,2,1825-03-05,Le Pensionnat de jeunes demoiselles
93,1380,false,false,1,1840-04-28,La Perruche
94,1382,false,false,3,1838-03-30,Le Perruquier de la Régence
95,1383,false,false,3,1818-06-30,Le Petit Chaperon rouge
96,1386,false,false,1,1796-01-07,Le Petit Matelot ou le Mariage impromptu
97,1388,false,false,1,1822-02-21,Le Petit Souper
98,139,false,false,1,1830-05-11,L'Auberge d'Auray
99,1393,false,false,1,1827-07-09,Les Petits Appartements
100,1397,false,false,1,1791-12-28,Philippe et Georgette
101,1399,false,false,3,1821-08-16,Le Philosophe en voyage
102,14,false,false,1,1822-12-19,Les Adieux au public
103,140,false,false,3,1807-04-23,L'Auberge de Bagnères
104,1403,false,false,1,1803-05-03,Picaros et Diego
105,1407,false,false,1,1829-02-09,Pierre et Catherine
106,141,false,false,3,1824-04-26,L'Auberge supposée
107,1411,false,false,3,1837-10-31,Piquillo
108,1416,false,false,2,1839-03-01,Le Planteur
109,142,false,false,3,1812-06-17,Les Aubergistes de qualité
110,1422,false,false,1,1831-12-16,Le Podestat
111,1428,false,false,1,1839-06-14,Polichinelle
112,1432,false,false,1,1836-11-08,Les Pontons de Cadix
113,1434,false,false,3,1835-06-16,Le Porte-faix
114,1439,false,false,3,1836-10-13,Le Postillon de Lonjumeau
115,1444,false,false,3,1832-12-15,Le Pré-aux-clercs
116,1450,false,false,1,1832-11-24,Le Premier pas
117,1452,false,false,3,1818-09-28,Le Premier venu ou Six Lieues de chemin
118,1469,false,false,3,1833-07-20,La Prison d'Edimbourg
119,147,false,false,1,1820-12-18,L'Auteur mort et vivant
120,1470,false,false,1,1798-01-29,Le Prisonnier ou la Ressemblance
121,1472,false,false,1,1828-02-06,Le Prisonnier d'état
122,1476,false,false,1,1825-11-04,Le Projet de pièce ou les Deux Mousquetaires
123,1479,false,false,3,1833-09-18,Le Proscrit ou le Tribunal invisible
124,1486,false,true,1,1782-04-09,Le Public vengé
125,1487,false,false,3,1843-04-20,Le Puits d'amour
126,149,false,false,1,1840-09-02,L'Automate de Vaucanson
127,1493,false,false,3,1844-07-15,Les Quatre Fils Aymon
128,1503,false,false,3,1789-10-31,"Raoul, Sire de Créqui"
129,1513,false,false,2,1839-01-17,Régine ou Deux nuits
130,1515,false,false,3,1839-09-19,La Reine d'un jour
131,1517,false,false,3,1840-10-12,La Reine Jeanne
132,1518,false,false,3,1837-08-11,Le Remplaçant
133,1520,false,false,2,1787-07-19,Renaud d'Ast
134,1523,false,false,3,1828-06-11,Les Rencontres ou le Même Roman
135,1527,false,false,1,1807-05-09,Les Rendez-vous bourgeois
136,153,false,false,2,1806-11-22,Avis au public ou le Physionomiste en défaut
137,1544,false,false,2,1833-12-31,Le Revenant
138,1546,false,false,1,1848-03-21,Le Rêveur éveillé
139,1550,false,false,3,1784-10-21,Richard Cœur-de-Lion
140,1559,false,false,1,1819-12-24,Les Rivaux de village ou la Cruche cassée
141,1560,false,false,3,1821-06-18,Robin des bois
142,1563,false,false,1,1836-05-13,Rock le Barbu
143,157,false,false,3,1786-10-17,Azémia ou les Sauvages
144,1571,false,false,3,1842-10-13,Le Roi d'Yvetot
145,1572,false,false,1,1831-10-17,Le Roi de Sicile
146,1574,false,false,1,1827-11-03,Le Roi et le batelier
147,1577,false,false,2,1824-08-24,Le Roi René ou la Provence au Xve siècle
148,1583,false,false,3,1801-10-19,Roméo et Juliette
149,1589,false,false,3,1840-12-17,La Rose de Péronne
150,1596,false,false,3,1817-01-27,Les Rosières
